Station expérimentale;Adresse 1;Adresse 2;CP;Ville;Tél;Responsable station;Spécialités;Commentaire
(10) Station Expérimentale du Languedoc-Rousillon;Domaine de la Bastide ;Route de Generac;30900;Nîmes;Tél. : 04 66 84 92 18;Pauline DAVID;Toutes cultures.;
(11) Station Expérimentale de Montans;3 chemin de Bellevue;;81600;Montans;Tél. : 05 63 40 28 10;Régis Hélias;Toutes cultures, agriculture biologique.;
(12) Station Inter-Instituts de Baziège / En Crambade;6 Chemin de la Côte Vieille;;31450;Baziège;Tél. : 05 62 71 79 39;Sophie Vallade;Toutes cultures (Terres Inovia, ACTA).;
(13) Station Expérimentale de Montaut-les-Créneaux;13 chemin de Ronde;;32810;Montaut-les-Créneaux;Tél. : 05 32 11 19 45;Aude Bouas;Céréales à paille, Sorgho, agriculture biologique.;
(14) Station Expérimentale de Montardon;Agrosite;21 chemin de Pau;64121;Montardon;Tél. : 05 59 12 67 00;Manuel Heredia;Maïs, céréales à paille, semences.;
(15) Station Expérimentale de Bergerac;Domaine de la Tour;;24100;Bergerac;Tél. : 05 64 10 01 90;Aude Carrera;Céréales à paille, maïs.;
(16) Station Expérimentale du Magneraud;;;17700;Saint-Pierre-d’Amilly;Tél. : 05 46 07 44 64;Thibaud Deschamps;Céréales à paille, maïs (Inrae, Terres Inovia).;
(17) Station Expérimentale de La Jaillière;La Chapelle-Saint-Sauveur;;44370;Loireauxence;Tél. : 02 40 98 65 00;Alain Dutertre;Fourrages, production de lait, céréales à paille, maïs.;
(18) Station Expérimentale de Bretagne;Kerguehennec;;56500;Bignan;Tél. : 02 97 40 58 98 - 09 97 43 01 43;Eric Masson;Céréales à paille, maïs.;
(19) Station Expérimentale de Basse-Normandie;12 rue Alfred Kastler;;14000;Caen;Tél. : 02 31 71 13 91;Cynthia TORRECILLAS;Céréales à paille, maïs, lin fibre.;
(20) Site de recherche de Grignon;Domaine AgroParisTech;Bâtiment Inrae Bioger;78850;Thiverval-Grignon;Tél. : 01 30 81 45 21;Romain Valade;Toutes cultures.;
(21) Site de recherche de Villiers-le-Bâcle;Route de Châteaufort;RD 36 - ZA des Graviers;91190;Villiers-le-Bâcle;Tél. : 01 69 93 85 50;Isabelle Chaillet;Céréales à paille, semences.;
(22) Station Expérimentale de Boigneville;;;91720;Boigneville;Tél. : 01 64 99 22 00;Mehdi Hassny;Céréales à paille, maïs, pommes de terre, production biologique, séchage, stockage.;
(23) Station Expérimentale d’Ouzouer-le-Marché;45 voie Romaine;Ouzouer-le-Marché;41240;Beauce-la-Romaine;Tél. : 02 54 82 33 10;Manon Boissières;Céréales à paille, maïs, productions semences (Fnams).;
(24) Station Expérimentale de Villerable;2 Pouline;;41100;Villerable;Tél. : 02 54 77 48 10;Maria Vilariño;Toutes céréales, coproduits, porcs, volailles.;
(25) Station Expérimentale du Chaumoy;;;18570;Le Subdray;Tél. : 02 48 64 58 48;Edouard Baranger;Céréales à paille, maïs (Terres Inovia, Axereal).;
(26) Ferme Expérimentale des Bordes;;;36120;Jeu-les-Bois;Tél. : 02 54 36 21 68;Antoine Buteau;Fourrages, engraissement, vaches allaitantes, production biologique.;
(27) Station Expérimentale d’Auvergne;Biopôle Clermont Limagne;2 rue Henri Mondor;63360;Saint-Beauzire;Tél. : 04 73 33 42 10;Chloé Malaval-Juery;Toutes cultures.;
Local technique Lannion;Photonics Bretagne;4 rue Louis de Broglie;22300;Lannion;;;;
Local technique Avignon;INRA - UMR EMMAH 1114 / UMT CAPTE / Bâtiment Climat;228 Route de l’aérodrome;84000;Avignon;;;;
Local technique Sainte Croix;11 rue Jean Mermoz;BP 38;68127;Sainte Croix en Plaine;;;;
Local technique Bordé Basse;Bordé Basse;;31290;  MONTGAILLARD LAURAGAIS;;;;
Local technique En Crambade;Ferme d'En Crambade;;31450;MONTESQUIEU-LAURAGAIS;;;;
Local technique Bignan;Station de Kerguehennec;;56500;BIGNAN;;;;
Local technique Villers-Saint-Christophe;rue de Foreste;;02590;Villers-Saint-Christophe;;;;
Local technique Bergerac;La Tour;;24100;Bergerac;;;;
Local technique Étoile-sur-Rhône;Ferme expérimentale de Marcellas;2485 route des Pécolets;26800;Étoile-sur-Rhône;;;;
Local technique Colmar;Bâtiment Europe;2, Allée de Herrlisheim;68000;Colmar;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
